# Rufana client pack, снят 2026-08-14 с «Fabric 1.21.11»
# модов: 72 (+instantlore своим каналом)
# file	modid	version	sha512	url
CrashAssistant-fabric-1.21.5-1.21.11-1.11.9.jar	crash_assistant	1.11.9	30a9e1f33784a4346c9bf054988595eb7718237790c817ed3ca18e9cfc001769c140bacfbcfa9aae2006a4f11f27f58907f85aa73d0673cbda13048fda17b3c6	https://cdn.modrinth.com/data/ix1qq8Ux/versions/JDUbABmP/CrashAssistant-fabric-1.21.5-1.21.11-1.11.9.jar
cwb-fabric-3.0.0-build.14+mc1.21.11.jar	cubes-without-borders	3.0.0-build.14+mc1.21.11	5c4efa5d080475556362e88348414d74b81c94b1f25f6455a3933a113c949f12a65d6a267822debda5aeafa212ef1f3f675ff1eb38eb82f4f96cf823bb8aaa21	https://cdn.modrinth.com/data/ETlrkaYF/versions/G94OTz7b/cwb-fabric-3.0.0-build.14%2Bmc1.21.11.jar
debugify-1.21.11+1.1.jar	debugify	1.21.11+1.1	156732558bf7c6280c8cb59160fa3842a22da196c8dd3f6fba3ef8b07367c1c793a42e928ac9d53917e1d00e7cff7f72ae13f6e5f233bd32d0db31acd8b43cbd	https://cdn.modrinth.com/data/QwxR6Gcd/versions/xVevtAGn/debugify-1.21.11%2B1.1.jar
dynamic-fps-3.11.6+minecraft-1.21.11-fabric.jar	dynamic_fps	3.11.6	c45652252e2176cb8e2c44dfd9032c617135a100dcf161b9e6e6717803c14d1359d0f940fa10dc1aa6ad80669983f4b9c5636c0c2953d3314e06f893f0cdc736	https://cdn.modrinth.com/data/LQ3K71Q1/versions/Fab7e5Th/dynamic-fps-3.11.6%2Bminecraft-1.21.11-fabric.jar
e4mc-fabric-6.1.1.jar	e4mc	6.1.1	1f46af9c996e14745dc8e4c1ea4d00ef26739818d302545d779b2f7fdf5a4f256d0b9d8346be53e730ac36711a8f57fda494179c7a8942d5926920e955d5b91c	https://cdn.modrinth.com/data/qANg5Jrr/versions/wpGvTXU0/e4mc-fabric-6.1.1.jar
easy_model_entities-fabric-1.21.11-1.7.0.jar	easy_model_entities	1.7.0	031c19cd98f4beb790261d296a01b005bcb4fbfa3932dd6b126acfba7f55d50411686dc85a6bd17f35d282d63f7e2001d4d73d61a8762d68275ad341603c247a	https://cdn.modrinth.com/data/ngLoLP1P/versions/gJqmyFcW/easy_model_entities-fabric-1.21.11-1.7.0.jar
easy_npc-fabric-1.21.11-6.12.0.jar	easy_npc	6.12.0	979c7ca4972971c5d4f027c0f6ef3cf45c57253174b687e83671485e16cee1c9f227e3cd9cc68d6532291e69d09a12f8e5b553e4d45b882b235c85ec7ffa62db	https://cdn.modrinth.com/data/Epm6R3P2/versions/xW7DXpgQ/easy_npc-fabric-1.21.11-6.12.0.jar
easy_npc_bundle-fabric-1.21.11-6.12.0.jar	easy_npc_bundle	6.12.0	34cc35ad9436d85f1ebd3ff6dbed1ffd6fb606dd0016d4e2d2b73fb58c1f668b489386469aa78585f68af378de85e1b5c6b3085969d8479ec725f741717a6f10	https://cdn.modrinth.com/data/CgGEe1h3/versions/CKcAOYxV/easy_npc_bundle-fabric-1.21.11-6.12.0.jar
easy_npc_config_ui-fabric-1.21.11-6.12.0.jar	easy_npc_config_ui	6.12.0	236b427372e98e55afa00347a3f75ce09f0c1a0e0fc20f043b0e6fe046c521509cf85b3820240822158c4f3c7975bb43573c1b15aea8778abbfd8e53998d5046	https://cdn.modrinth.com/data/uTGjf7vA/versions/8nM5LuJD/easy_npc_config_ui-fabric-1.21.11-6.12.0.jar
entity_model_features-3.2.4-1.21.11-fabric.jar	entity_model_features	3.2.4	5d3f265f047fcb41a4c4ad6aa4d554fb51b06c436db29a0c64786a7a4137207ae5ed1afbe4caacecdb1ba4b631502757944bae63b83db5fe09d6c64983c2f80f	https://cdn.modrinth.com/data/4I1XuqiY/versions/CWZPvNbk/entity_model_features-3.2.4-1.21.11-fabric.jar
